text,label,clean_text
بعد استقالة رئيس #المحكمة_الدستورية ننتظر استقالة #رئيس_القضاء #السودان,OBJ,استقاله رئيس المحكمه الدستوريه ننتظر استقاله رئيس القضاء السودان
أهنئ الدكتور أحمد جمال الدين، القيادي بحزب مصر، بمناسبة صدور أولى روايته,POS,اهنئ الدكتور احمد جمال الدين القيادي بحزب مصر بمناسبه صدور اولي روايته
البرادعي يستقوى بامريكا مرةاخرى و يرسل عصام العريان الي واشنطن شئ مقرف,NEG,البرادعي يستقوي بامريكا مرهاخري يرسل عصام العريان الي واشنطن شئ مقرف
#الحرية_والعدالة | شاهد الآن: #ليلة_الاتحادية أول فيلم استقصائي يتناول أسرار و كواليس تعرض لأول مرة حول حقيقة,OBJ,الحريه والعداله شاهد الان ليله الاتحاديه اول فيلم استقصائي يتناول اسرار كواليس تعرض لاول مره حول حقيقه
الوالدة لو اقولها بخاطري حشيشة تضحك بس من اقولها ملل الله وكيلك تعطيني محاضرة عن الفسق والفجور بجنوب الشيشان #ليه كذا يانبع الحنان,OBJ,الوالده اقولها بخاطري حشيشه تضحك اقولها ملل الله وكيلك تعطيني محاضره الفسق والفجور بجنوب الشيشان ليه يانبع الحنان
#انتخبوا_العرص #انتخبوا_البرص #مرسى_رئيسى #اين_رئيسى #_ #__ö,OBJ,انتخبوا العرص انتخبوا البرص مرسي رئيسي اين رئيسي
امير عيد هو اللي فعلا يتقال عليه ستريكر صريح #كاريوكي #السكة_شمال,POS,امير عيد اللي فعلا يتقال ستريكر صريح كاريوكي السكه
أحكي لكم قصة حدثت بين شاب و أحد الفتيات كان بينهم حب كبير ولكن حدثت غلطة واحدة؟ فهل ستستمر هذه القصة ويتم,OBJ,احكي قصه حدثت شاب احد الفتيات بينهم حب كبير حدثت غلطه واحده فهل ستستمر القصه ويتم
أدعوكم لحضور الندوة الثقافية الأربعاء مركز اعداد القادة التفاصيل,OBJ,ادعوكم لحضور الندوه الثقافيه الاربعاء مركز اعداد القاده التفاصيل
عودة جماعة الإخوان إلى الحياة السياسية بنفس وضعها السابق مستحيلة والطرمخة على جرائم الماضي لن تجعلنا نتقدم شبرا,NEG,عوده جماعه الاخوان الي الحياه السياسيه بنفس وضعها السابق مستحيله والطرمخه علي جرائم الماضي تجعلنا نتقدم شبرا
_ علاج السكري #اف_نتشورال #السعودية #العراق #اليمن #مصر #قطر #الكويت #عمان #سوريا #ليبيا 46,OBJ,علاج السكري اف نتشورال السعوديه العراق اليمن مصر قطر الكويت عمان سوريا ليبيا
الوطن | موجتان متعاقبتان لمقاومة صناعة الاستبداد (1-2) | عمرو حمزاوي:,OBJ,الوطن موجتان متعاقبتان لمقاومه صناعه الاستبداد عمرو حمزاوي
شاهد - آخر كلام: إضراب العاملين بمصلحة الطب الشرعي #,OBJ,شاهد اخر كلام اضراب العاملين بمصلحه الطب الشرعي
