text,label,clean_text,char_count,word_count,avg_word_length,clean_word_count,exclamation_count,question_count,comma_count,dots_count,total_punctuation,has_emoji,emoji_count,hashtag_count,mention_count,has_hashtag,has_mention,elongation_count,has_elongation,repeated_word_count,repetition_ratio,has_repetition,negation_count,has_negation,has_egyptian,religious_term_count,has_religious_term,positive_words_count,negative_words_count,has_positive_word,has_negative_word
بعد استقالة رئيس #المحكمة_الدستورية ننتظر استقالة #رئيس_القضاء #السودان,OBJ,استقاله رئيس المحكمه الدستوريه ننتظر استقاله رئيس القضاء السودان,71,8,8.0,9,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0.4444444444444444,1,1,1,0,0,0,0,0,0,0
أهنئ الدكتور أحمد جمال الدين، القيادي بحزب مصر، بمناسبة صدور أولى روايته,POS,اهنئ الدكتور احمد جمال الدين القيادي بحزب مصر بمناسبه صدور اولي روايته,72,12,5.083333333333333,12,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
البرادعي يستقوى بامريكا مرةاخرى و يرسل عصام العريان الي واشنطن شئ مقرف,NEG,البرادعي يستقوي بامريكا مرهاخري يرسل عصام العريان الي واشنطن شئ مقرف,70,12,4.916666666666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1
#الحرية_والعدالة | شاهد الآن: #ليلة_الاتحادية أول فيلم استقصائي يتناول أسرار و كواليس تعرض لأول مرة حول حقيقة,OBJ,الحريه والعداله شاهد الان ليله الاتحاديه اول فيلم استقصائي يتناول اسرار كواليس تعرض لاول مره حول حقيقه,109,16,5.470588235294118,17,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0.0,0,3,1,0,0,0,0,0,0,0
الوالدة لو اقولها بخاطري حشيشة تضحك بس من اقولها ملل الله وكيلك تعطيني محاضرة عن الفسق والفجور بجنوب الشيشان #ليه كذا يانبع الحنان,OBJ,الوالده اقولها بخاطري حشيشه تضحك اقولها ملل الله وكيلك تعطيني محاضره الفسق والفجور بجنوب الشيشان ليه يانبع الحنان,130,23,4.695652173913044,18,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.1111111111111111,1,0,0,0,1,1,0,0,0,0
#انتخبوا_العرص #انتخبوا_البرص #مرسى_رئيسى #اين_رئيسى #_ #__ö,OBJ,انتخبوا العرص انتخبوا البرص مرسي رئيسي اين رئيسي,60,6,9.166666666666666,8,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0.5,1,0,0,0,0,0,0,0,0,0
امير عيد هو اللي فعلا يتقال عليه ستريكر صريح #كاريوكي #السكة_شمال,POS,امير عيد اللي فعلا يتقال ستريكر صريح كاريوكي السكه,65,11,5.0,9,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0,0
أحكي لكم قصة حدثت بين شاب و أحد الفتيات كان بينهم حب كبير ولكن حدثت غلطة واحدة؟ فهل ستستمر هذه القصة ويتم,OBJ,احكي قصه حدثت شاب احد الفتيات بينهم حب كبير حدثت غلطه واحده فهل ستستمر القصه ويتم,105,22,3.8181818181818183,16,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.125,1,0,0,0,0,0,0,0,0,0
أدعوكم لحضور الندوة الثقافية الأربعاء مركز اعداد القادة التفاصيل,OBJ,ادعوكم لحضور الندوه الثقافيه الاربعاء مركز اعداد القاده التفاصيل,64,9,6.222222222222222,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,0,0,0,0
عودة جماعة الإخوان إلى الحياة السياسية بنفس وضعها السابق مستحيلة والطرمخة على جرائم الماضي لن تجعلنا نتقدم شبرا,NEG,عوده جماعه الاخوان الي الحياه السياسيه بنفس وضعها السابق مستحيله والطرمخه علي جرائم الماضي تجعلنا نتقدم شبرا,111,18,5.222222222222222,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,1,0,0,0,0,1,0,1
_ علاج السكري #اف_نتشورال #السعودية #العراق #اليمن #مصر #قطر #الكويت #عمان #سوريا #ليبيا 46,OBJ,علاج السكري اف نتشورال السعوديه العراق اليمن مصر قطر الكويت عمان سوريا ليبيا,91,14,5.571428571428571,13,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0,0
الوطن | موجتان متعاقبتان لمقاومة صناعة الاستبداد (1-2) | عمرو حمزاوي:,OBJ,الوطن موجتان متعاقبتان لمقاومه صناعه الاستبداد عمرو حمزاوي,69,10,5.363636363636363,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,2,1,1,0,0,0,0,0,0
شاهد - آخر كلام: إضراب العاملين بمصلحة الطب الشرعي #,OBJ,شاهد اخر كلام اضراب العاملين بمصلحه الطب الشرعي,52,8,4.3,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
الصداقة تزرع الحياة أزهارًا #مي_زيادة,POS,الصداقه تزرع الحياه ازهارا مي زياده,37,6,6.6,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
الإصرار علي الإستفتاء في ظل وطن ممزق وغليان شعبي وغياب أمني وقضاء معطل واعلام محاصر هو انعدام للإحساس بالمسؤولية نحو مصر,NEG,الاصرار علي الاستفتاء ظل وطن ممزق وغليان شعبي وغياب امني وقضاء معطل واعلام محاصر انعدام للاحساس بالمسؤوليه مصر,120,21,4.761904761904762,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0,0,0,0
#مصطفى_حسني #على_طريق_الله #روح_العبادة #الوضوء #كراسة_إياك_نعبد فرائض واركان الوضوء النية = نية التطهر من,OBJ,مصطفي حسني علي طريق الله روح العباده الوضوء كراسه اياك نعبد فرائض واركان الوضوء النيه نيه التطهر,106,12,7.230769230769231,17,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0.11764705882352941,1,1,1,0,1,1,0,0,0,0
دضياء رشوان: أن الدكتور عبد المنعم أبو الفتوح الأكثر اعتدالاً سياسيًا وديننًا، كما أنه اجتهد فى مقاصد الشريعة,POS,دضياء رشوان ان الدكتور عبد المنعم ابو الفتوح الاكثر اعتدالا سياسيا وديننا انه اجتهد مقاصد الشريعه,109,20,5.111111111111111,16,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0,3,1,0,0,0,0,0,0,0
للبيادة نكهات عديدة - باسم يوسف :: بوابة الشروق :: نسخة الموبايل ::,OBJ,للبياده نكهات عديده باسم يوسف بوابه الشروق نسخه الموبايل,67,9,4.230769230769231,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
د أبو الفتوح في العاشرة مساء : منصب رئيس الجمهورية منصب خدمي و أسعى لخدمة المصريين جميعا بالترشح لهذا المنصب,OBJ,ابو الفتوح العاشره منصب رئيس الجمهوريه منصب خدمي اسعي لخدمه المصريين جميعا بالترشح لهذا المنصب,108,19,4.45,15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.13333333333333333,1,2,1,0,0,0,0,0,0,0
انشاء مراكز أهلية وخاصة لتأهيل وتدريب المعلمين مع رفع مستوى الدخل للمعلمين حتى يتسنى لهم القيام بواجبهم,OBJ,انشاء مراكز اهليه وخاصه لتاهيل وتدريب المعلمين رفع مستوي الدخل للمعلمين حتي يتسني القيام بواجبهم,103,17,5.117647058823529,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,1,0,0,0,0,0,0,0
أدين بشدة تقديم كل صاحب رأي أو ناشط سياسي للمحاكمات العسكرية علي المجلس العسكري الالتزام بتعهده بعدم إحالة المدنيين لمحاكمات عسكرية,NEG,ادين بشده تقديم صاحب راي او ناشط سياسي للمحاكمات العسكريه علي المجلس العسكري الالتزام بتعهده بعدم احاله المدنيين لمحاكمات عسكريه,131,21,5.285714285714286,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,1,1,0,0,0,0,0,0
"د عمار علي حسن,تحديات مسودة الدستور والانتخابات البرلمانية المقبلة #يوسف_الحسيني #…",OBJ,عمار علي حسن تحديات مسوده الدستور والانتخابات البرلمانيه المقبله يوسف الحسيني,83,11,6.636363636363637,11,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0.0,0,5,1,0,0,0,0,0,0,0
مش هنسالك وانتا واقف جنبى بتطلب القصاص وكلاب الداخلية ضربوك بالرصاص #جيكا,OBJ,مش هنسالك وانتا واقف جنبي بتطلب القصاص وكلاب الداخليه ضربوك بالرصاص جيكا,73,12,5.166666666666667,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,2,1,0,1,1,0,0,0,0
1 العنف مدان، ضد منشآت عامة أو خاصة، ضد مجمع محاكم أو أقسام للشرطة أو مقر إعلامي حزبي كإخوان أون لاين، من الأجهزة الأمنية أو من المتظاهرين,NEG,العنف مدان ضد منشات عامه او خاصه ضد مجمع محاكم او اقسام للشرطه او مقر اعلامي حزبي كاخوان اون لاين الاجهزه الامنيه او المتظاهرين,138,27,4.148148148148148,24,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0.25,1,3,1,0,0,0,0,2,0,1
اللي ما يعرفش يقول عدس,OBJ,اللي يعرفش يقول عدس,22,5,3.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
إلى زملائي المحامين الراغبين في الانضمام لمبادرة(سامعين صوتك)التى تهدف لدمج متحدي الاعاقه في المجتمع يسعدنا اشتراككم,POS,الي زملائي المحامين الراغبين الانضمام لمبادره سامعين صوتك تهدف لدمج متحدي الاعاقه المجتمع يسعدنا اشتراككم,116,18,6.3125,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,1,0,0,0,0,0,0,0
إآابني آلمستقبلي ^_^ تشرب #حشيش عآاإدي = تصآإحب بنآإأإأت شغآل $$ = تضرب ابوكـ ومآاالو :$ = = بس تطلع #زملكاوى هولع في أبوكــــــــــ -_-,OBJ,ابني المستقبلي تشرب حشيش عادي تصااحب بنات شغال تضرب ابوكـ ومالو تطلع زملكاوي هولع ابوكـ,136,19,4.48,15,0,0,0,0,1,0,0,2,0,1,0,1,1,1,0.13333333333333333,1,1,1,0,1,1,0,0,0,0
هواجس العام الجديد - سادسنا كيف يرتقى الأداء المهنى لمجلس الشعب لمستوى توقعاتنا؟ - عمرو حمزاوي - بوابة الشروق,OBJ,هواجس العام الجديد سادسنا يرتقي الاداء المهني لمجلس الشعب لمستوي توقعاتنا عمرو حمزاوي بوابه الشروق,109,16,4.7894736842105265,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,3,1,1,0,0,0,0,0,0
ماشاء الله، لا قوّة إلا بالله مؤشر بورصة #قطر يسجل أعلى مستوى في تاريخه #سحب_السفراء_من_قطر,OBJ,ماشاء الله قوه الا بالله مؤشر بورصه قطر يسجل اعلي مستوي تاريخه سحب السفراء قطر,91,16,5.133333333333334,15,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0.13333333333333333,1,3,1,0,1,1,0,0,0,0
هل هناك حضارة دون وجود المرأة؟ يجب أن نثق في قدرات المرأة فهي دائماً جزء من النجاح، من غير المرأة لن تكون هناك,POS,حضاره وجود المراه يجب ان نثق قدرات المراه فهي دائما جزء النجاح المراه تكون,110,23,3.8260869565217392,14,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0.21428571428571427,1,7,1,0,0,0,0,0,0,0
سابحث غدا مع رئيس تشاد موقف البلدين من #سد_النهضة الإثيوبي #,OBJ,سابحث رئيس تشاد موقف البلدين سد النهضه الاثيوبي,60,10,4.545454545454546,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
